"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","season_num","round_id"
"CD_I1026294","Ariana Hetherington",42000,-4400,6400,11700,17100,21400,2024,9,1
"CD_I1031243","Tahleah Mulder",78700,-8200,2500,7900,13300,17600,2024,9,1
"CD_I998030","Kiara Bowers",237200,-24700,-14000,-8600,-3200,1100,2024,9,1
"CD_I1007342","Chloe Scheer",87200,-9100,1700,7000,12400,16700,2024,9,1
"CD_I1009778","Olivia Fuller",101500,-10600,200,5500,10900,15200,2024,9,1
"CD_I1010675","Erin Hoare",84400,-8800,1900,7300,12700,17000,2024,9,1
"CD_I1019668","Abbey McDonald",49200,-5100,5600,11000,16400,20700,2024,9,1
"CD_I1019788","Brooke Plummer",54100,-5600,5100,10500,15800,20100,2024,9,1
"CD_I1021454","Caitlin Thorne",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1021465","Lilly Pearce",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1021927","Bryde O'Rourke",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1022689","Bella K. Smith",39800,-3800,6600,12000,17300,21600,2024,9,1
"CD_I1026012","Melissa Bragg",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1026947","Chantal Mason",37000,-1000,6900,12300,17600,21900,2024,9,1
"CD_I1007151","Aliesha Newman",59100,-6200,4600,10000,15300,19600,2024,9,1
"CD_I1012549","Chloe Dalton",98800,-10300,400,5800,11200,15500,2024,9,1
"CD_I1015105","Daisy Walker",63300,-6600,4100,9500,14900,19200,2024,9,1
"CD_I1017323","Annise Bradfield",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1021827","Indigo Linde",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1022697","Caitlin Miller",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1022723","Brodee Mowbray",68100,-7100,3600,9000,14400,18700,2024,9,1
"CD_I1023564","Jemma Ramsdale",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1024584","Fleur Davies",84600,-8800,1900,7300,12700,17000,2024,9,1
"CD_I1033167","Courtney Murphy",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1009854","Denby Taylor",46200,-4800,5900,11300,16700,21000,2024,9,1
"CD_I1009861","Olivia Purcell",164200,-17100,-6400,-1000,4400,8700,2024,9,1
"CD_I1015025","Georgia Gall",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1019713","Georgia Campbell",85100,-8900,1900,7200,12600,16900,2024,9,1
"CD_I1019806","Jemma Rigoni",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1021828","Alyssia Pisano",50000,-5200,5500,10900,16300,20600,2024,9,1
"CD_I1021845","Jacinta Hose",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1024636","Lily Johnson",48400,-5000,5700,11100,16400,20700,2024,9,1
"CD_I1025567","Delany Madigan",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1029628","Saraid Taylor",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1033162","Aimee Mackin",67300,-7000,3700,9100,14500,18800,2024,9,1
"CD_I1003018","Jenna Bruton",198200,-20600,-9900,-4500,800,5100,2024,9,1
"CD_I1017514","Liz McGrath",76200,-7900,2800,8200,13500,17800,2024,9,1
"CD_I1021834","Georgia Stubs",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1022153","Lucy Burke",42600,-4400,6300,11700,17000,21300,2024,9,1
"CD_I1024294","Lulu Pullar",88800,-9200,1500,6900,12200,16500,2024,9,1
"CD_I1026141","Ella Slocombe",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1029619","Zoe Savarirayan",38200,-2200,6800,12100,17500,21800,2024,9,1
"CD_I1036301","Sophie Kavanagh",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1036302","Blaithin Bogue",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I997700","Eliza Shannon",82900,-8600,2100,7500,12800,17100,2024,9,1
"CD_I1009829","Zimmorlei Farquharson",53700,-5600,5100,10500,15900,20200,2024,9,1
"CD_I1009875","Eleanor Brown",65000,-6800,4000,9300,14700,19000,2024,9,1
"CD_I1010686","Elle Bennetts",59700,-6200,4500,9900,15300,19600,2024,9,1
"CD_I1010689","Naomi Ferres",92600,-9600,1100,6500,11800,16100,2024,9,1
"CD_I1012595","Vaomua Laloifi",62800,-6500,4200,9600,14900,19200,2024,9,1
"CD_I1012953","Brianna McFarlane",76400,-8000,2800,8200,13500,17800,2024,9,1
"CD_I1014736","Elizabeth Snell",66300,-6900,3800,9200,14600,18900,2024,9,1
"CD_I1015021","Aurora Smith",108400,-11300,-600,4800,10200,14500,2024,9,1
"CD_I1019828","Keely Coyne",96100,-10000,700,6100,11500,15800,2024,9,1
"CD_I1024553","Kaylee Kimber",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1025517","Heidi Woodley",78600,-8200,2600,7900,13300,17600,2024,9,1
"CD_I1009868","Maddy Brancatisano",114500,-11900,-1200,4200,9600,13900,2024,9,1
"CD_I1016956","Vivien Saad",103900,-10800,-100,5300,10700,15000,2024,9,1
