"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","round_id"
"CD_I1023518","Harry Sheezel",97300,-1500,-5300,-3300,-1200,400,2024,-1
"CD_I1023544","Brayden George",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1023625","Riley Hardeman",25900,-2500,1600,3600,5700,7300,2024,-1
"CD_I1024272","Colby McKercher",32900,-3200,900,2900,5000,6600,2024,-1
"CD_I1028551","Wil Dawson",26300,-2500,1500,3600,5600,7300,2024,-1
"CD_I1031506","Taylor Goad",26900,-2600,1500,3500,5600,7200,2024,-1
"CD_I1031792","Finnbar Maley",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I280737","Liam Shiels",77300,-1200,-3400,-1300,700,2300,2024,-1
"CD_I281091","Hugh Greenwood",59300,-900,-1600,400,2400,4100,2024,-1
"CD_I294508","Aidan Corr",58800,-900,-1600,400,2500,4100,2024,-1
"CD_I296355","Luke McDonald",75200,-1100,-3200,-1100,900,2500,2024,-1
"CD_I993816","Darcy Tucker",60900,-900,-1800,200,2300,3900,2024,-1
"CD_I993998","Jy Simpkin",75800,-1100,-3200,-1200,800,2500,2024,-1
"CD_I997933","Griffin Logue",51900,-800,-900,1100,3200,4800,2024,-1
"CD_I998484","Cameron Zurhaar",64500,-1000,-2200,-100,1900,3600,2024,-1
"CD_I999827","Zac Fisher",69000,-1000,-2600,-500,1500,3100,2024,-1
"CD_I1000972","Willem Drew",76900,-1100,-3400,-1300,700,2400,2024,-1
"CD_I1001299","Connor Rozee",105900,-1600,-6200,-4100,-2100,-400,2024,-1
"CD_I1002220","Esava Ratugolea",40500,-600,200,2200,4300,5900,2024,-1
"CD_I1002253","Kane Farrell",64500,-1000,-2200,-100,1900,3600,2024,-1
"CD_I1004034","Brandon Zerk-Thatcher",52200,-800,-1000,1100,3100,4800,2024,-1
"CD_I1004819","Jed McEntee",41300,-600,100,2100,4200,5800,2024,-1
"CD_I1004998","Todd Marshall",60200,-900,-1700,300,2400,4000,2024,-1
"CD_I1005326","Jackson Mead",43500,-1300,-100,1900,4000,5600,2024,-1
"CD_I1006121","Zak Butters",99500,-1500,-5500,-3500,-1500,200,2024,-1
"CD_I1009191","Miles Bergman",60000,-900,-1700,300,2400,4000,2024,-1
"CD_I1009195","Dylan Williams",60000,-900,-1700,300,2400,4000,2024,-1
"CD_I1010174","Mitch Georgiades",46700,600,-400,1600,3700,5300,2024,-1
"CD_I1011583","Lachie Jones",44600,-600,-200,1800,3900,5500,2024,-1
"CD_I1011640","Jason Horne-Francis",68000,-1000,-2500,-400,1600,3200,2024,-1
"CD_I1012881","Ollie Lord",35000,-500,700,2700,4800,6400,2024,-1
"CD_I1013462","Jase Burgoyne",51200,-2000,-900,1200,3200,4900,2024,-1
"CD_I1014013","Lachlan Charleson",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1015330","Hugh Jackson",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1017078","Josh Sinn",28400,-1100,1300,3400,5400,7100,2024,-1
"CD_I1017128","Dante Visentini",31300,200,1100,3100,5100,6800,2024,-1
"CD_I1017255","Francis Evans",39000,-600,300,2400,4400,6000,2024,-1
"CD_I1020066","Thomas Scully",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1021276","Kyle Marshall",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1021296","Tom McCallum",22200,-2100,1900,4000,6000,7700,2024,-1
