"player_id","Name","Team","LiveScore","LiveTog","Playing","season_num","RoundID","score_column","PlayerIcon","MatchStatus","Kick","Handball","Marks","Tackles","Hitouts","FreeFor","FreeAgainst","Goals","Behinds","TimeOnGround"
"CD_I1016938","Ruby Svarc","BRL",49,76,1,9,2,"LIVE",0,1,5,3,1,4,0,3,0,1,0,76
"CD_I1024563","Jacinta Baldwick","BRL",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1024563","Jacinta Baldwick","BRL",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1012989","Taylor Smith","BRL",44,81,0,9,1,"LAST",0,1,5,2,0,3,11,2,2,1,0,81
"CD_I1012989","Taylor Smith","BRL",45,65,1,9,2,"LIVE",0,1,3,7,2,2,1,1,0,1,0,65
"CD_I1019887","Amelia Velardo","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019887","Amelia Velardo","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I296137","Jessica Dal Pos","CAR",35,72,0,9,1,"LAST",0,1,5,1,2,3,0,0,0,0,0,72
"CD_I296137","Jessica Dal Pos","CAR",30,78,1,9,2,"LIVE",0,1,5,5,0,2,0,0,1,0,0,78
"CD_I997663","Darcy Vescio","CAR",24,71,0,9,1,"LAST",0,1,4,3,2,0,0,0,0,0,0,71
"CD_I997663","Darcy Vescio","CAR",19,73,1,9,2,"LIVE",0,1,3,4,0,1,0,1,1,0,0,73
"CD_I1014991","Keeley Skepper","CAR",57,73,0,9,1,"LAST",0,1,10,2,0,4,0,1,0,1,0,73
"CD_I1014991","Keeley Skepper","CAR",55,67,1,9,2,"LIVE",0,1,6,3,3,4,0,0,0,1,0,67
"CD_I1013027","Abbie McKay","CAR",102,77,0,9,1,"LAST",0,1,16,16,0,5,0,2,0,0,0,77
"CD_I1013027","Abbie McKay","CAR",56,89,1,9,2,"LIVE",0,1,7,17,0,0,0,0,0,0,1,89
"CD_I1007026","Gab Pound","CAR",37,84,0,9,1,"LAST",0,1,5,5,2,2,0,1,1,0,0,84
"CD_I1007026","Gab Pound","CAR",61,87,1,9,2,"LIVE",0,1,15,1,2,2,0,0,0,0,0,87
"CD_I1019665","Tahlia Read","CAR",0,0,0,9,1,"LAST",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1019665","Tahlia Read","CAR",0,0,-1,9,2,"LIVE",0,1,0,0,0,0,0,0,0,0,0,0
"CD_I1012555","Celine Moody","CAR",12,69,0,9,1,"LAST",0,1,3,0,2,0,0,0,1,0,0,69
"CD_I1012555","Celine Moody","CAR",22,63,1,9,2,"LIVE",0,1,4,3,2,0,0,1,1,0,0,63
"CD_I1009977","Kerryn Peterson","CAR",37,67,0,9,1,"LAST",0,1,9,3,2,1,0,0,2,0,0,67
